,created_at,id,id_str,text,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,entities,favorited,retweeted,possibly_sensitive,filter_level,lang,timestamp_ms
id,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,2148925184,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
id_str,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,2148925184,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
name,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,そら,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
screen_name,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,etorofcisca,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
location,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
url,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
description,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
translator_type,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,none,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
protected,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
verified,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
followers_count,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,545,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
friends_count,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,2083,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
listed_count,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,1,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
favourites_count,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,50828,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
statuses_count,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,3077,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
created_at,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,Tue Oct 22 12:21:21 +0000 2013,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
utc_offset,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
time_zone,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
geo_enabled,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
lang,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
contributors_enabled,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
is_translator,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_background_color,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,000000,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_background_image_url,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,http://abs.twimg.com/images/themes/theme1/bg.png,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_background_image_url_https,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,https://abs.twimg.com/images/themes/theme1/bg.png,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_background_tile,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_link_color,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,FF691F,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_sidebar_border_color,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,000000,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_sidebar_fill_color,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,000000,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_text_color,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,000000,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_use_background_image,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_image_url,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,http://pbs.twimg.com/profile_images/1340620746112921600/MR9EUqVE_normal.jpg,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
profile_image_url_https,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,https://pbs.twimg.com/profile_images/1340620746112921600/MR9EUqVE_normal.jpg,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
default_profile,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
default_profile_image,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,False,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
following,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
follow_request_sent,2021-04-13 06:50:38+00:00,1381862374437572608,1381862374437572608,"4000
https://t.co/hOaFcEprn9","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,,False,0,0,0,0,,False,False,False,low,und,2021-04-13 06:50:38.484
